author,platform,country,stars,date,issue_tag,body,suggested_reply,review_id
Small Traveller,Android,"th,us",1,2026-08-27,bug,"Cannot use, this app is very particular what kind of people and phone can use it. Very special app for special people only.","Sorry the app wouldn't open on your phone. We currently refuse some Android setups (including Developer Options). That's our restriction, not your device — and we've flagged it for the Android team.",b5ddca46-080e-47a5-b9d7-45e99f062829
Hans Rume,Android,"th,us",1,2026-08-24,other,Prices for the largest donkeys. All products are several times more expensive than in other stores. Avoid this scaaaaaam.,"Sorry the prices felt out of line. App prices should match the Villa store shelf — we don't add a hidden markup. If a specific item looked inflated, message us in-app with the product name and we'll check it.",25b59108-ecba-45fa-9662-56e43930b479
Rickard Modig,Android,"th,us",1,2026-08-11,bug,app won't start unless you disable developer mode. also ridiculous to charge 140 for delivery when most other shops deliver practically for free. i could even schedule grab pickup myself for half that price.,"Sorry on both counts: the app shouldn't refuse phones with Developer Options on (Thai bank apps allow it — we're fixing that), and delivery fees should feel fair next to Grab/other options. Both notes are with the Android and ops teams.",12517ab9-6fa1-4be2-8695-8edb063d5c4e
Alexey Efimov,Android,"th,us",1,2026-08-09,bug,"The app refuses to open when Developer Mode is enabled. This is an absurd restriction that provides no meaningful security benefit. As a developer, I need Developer Mode enabled, and I should not have to disable it just to use a grocery store app. Terrible design decision.",You're right — blocking Developer Mode for a grocery app is a bad call and doesn't add real security. We've sent this to the Android team so shoppers (and developers) aren't forced to turn it off.,ea5a3153-5ebb-4576-a6d3-4ad5fb01ef22
RifRifRif8,iOS,ae,1,2026-08-08,bug,"Despite the Villa market store and products are at top level, but their app is just pure disaster, i have never experienced anything worse as this app. It’s getting worse with every update, you can’t select properly, can’t search properly, you can’t press the buttons, it all does","Sorry the app has been this broken — especially when the stores and products are good. Broken selection, search, and unresponsive buttons after updates are on us. Your review is with the iOS team.",14402328144
Thanva Tivawong,Android,"th,us",1,2026-08-03,bug,โหลดค้างอยู่หน้าแรก ยังเข้าแอพไม่ได้เลยครับ,ขออภัยที่แอปค้างหน้าแรกจนเข้าใช้งานไม่ได้ครับ เราได้รับเรื่องแล้วและส่งต่อให้ทีม Android เพื่อตรวจจับปัญหาโหลดค้างหลังอัปเดต,e9c3f2f4-ed65-4991-bd54-7eeee313610a
Hugh Musbekidding,Android,"th,us",2,2026-07-31,bug,Latest release takes forever to open. Stopped using at shopping till - faster to just give my phone number.,Sorry the latest release takes forever to open — so long you gave up at the till. Slow/hung launch after update is a known issue we're chasing on Android. Thanks for spelling out the impact.,da158192-3c33-4ed2-bb77-2f4e6592d801
S De Silva,Android,"th,us",1,2026-07-19,bug,"Not compatible with Android Developer Mode? There are no security issues tied to this mode, all Thai banks support it. If you're developer says otherwise, get another developer.","Agreed — Developer Mode isn't a security threat here, and Thai banks allow it. Blocking the app for that is on us. We've pushed the Android team to drop this restriction.",7eb6508b-4432-4f8a-a3a8-05c4d2f8a5c6
Sorsola,iOS,nl,3,2026-07-07,checkout,"Changed my card details months ago. I ask it to save my new card details every single time and it never does.

The search isn’t great.  Quick example: I want to buy Mainland Tasty Cheese. I type in “cheese” and it doesn’t appear in the results. I have to type in “Mainland” for it","Thanks for the concrete examples. Cards that never save after you update them, and search that misses 'Mainland Tasty Cheese' unless you type the brand, are both real bugs — logged with your test cases for the iOS/payments and search teams.",14272285896
Stoh Nick,Android,"th,us",2,2026-06-30,stock,A waste of my time. It tells me the entire store is out of stock on juice. Any and all kinds of juice are out of stock. that's not true.,Sorry the app claimed every juice in the store was out of stock when it wasn't. False OOS is a real inventory/app bug — we've sent it to the app and stock teams.,46f91476-3517-4ef8-8781-de4ae0ae895b
dhdkdkskkskskslala,iOS,th,1,2026-06-29,delivery,สั่งไปหลายครั้งทำแบบเดิมทุกครั้งไม่คิดจะปรับปรับหน่อยหรอคะหน้าร้านบริการก้แย่เดลิเวอรี่ก้แย่ปรับปรุงแล้วคัดพนักงานหน่อยค่ะแล้วจัดส่งด่วนนี้มีไว้ทำไมคะด่วนกี่โมงบอกภายใน1ชมแต่คือกว่าจะได้2ชมกว่าถ้าแค่คิดว่าตัวเองมีของหลายอย่างที่ที่อื่นไม่ทีงั้นอยู่กับที่ไปเถอะค่ะ,ขออภัยที่บริการหน้าร้านและการจัดส่งไม่ถึงมาตรฐาน และที่จัดส่งด่วนช้ากว่าที่แจ้ง (สัญญา ~1 ชม. แต่รอนานกว่า 2 ชม.) เราได้ส่งต่อให้ทีมปฏิบัติการจัดส่งแล้ว หากแจ้งเลขคำสั่งซื้อในแอป เราจะช่วยติดตามให้ค่ะ,14242701494
Pimnara Y.,Android,"th,us",1,2026-06-19,stock,"สั่งได้แต่ของแห้ง ของสดสั่งไม่ได้ ควรปรับปรุง แอพอื่น เช่น 7-11, Lotus, Tops, Makro สั่งได้ทุกอย่าง ส่งทุกอย่าง แล้วใครจะใช้แอพ Villa",ขออภัยที่สั่งได้แค่ของแห้ง ของสดสั่งไม่ได้ ทั้งที่ร้านอื่นส่งครบ เราทราบว่าแอปจำกัดบางหมวดและส่งต่อให้ทีมแอปกับทีมสต็อกแล้วค่ะ,f217b018-0ca0-4a7c-9dd7-2732611fdabb
Will Rodgers,Android,"th,us",1,2026-05-22,bug,apps broken,"Sorry the app is broken for you. If you can still open it, a quick note in-app with what happens (won't launch / crash / stuck screen) helps us reproduce — we've flagged stability on Android either way.",5883a6ee-30a3-4e60-807f-adcff02d60ed
Tom Roberts,Android,"th,us",1,2026-05-17,bug,spent 30 mins shopping and signing up but the app couldn't send verification OTOP code to email.lr.phone number. Waste of time😔,Sorry you spent 30 minutes shopping and signup only for the verification code to never arrive on email or phone. OTP delivery failures are a known login bug — with the auth team now. No fake promise on timing.,fb10c4cb-a831-4b43-9026-9f1bb0e310d4
cacknise,iOS,sg,1,2026-05-15,bug,Latest update does not work at all!,"Sorry the latest update made the app unusable. A bad release is on us — please try the newest build when you can, and if it still fails, tell us your iPhone model in-app so we can reproduce.",14065578902
Expat20266,iOS,us,1,2026-04-19,bug,The app constantly stops working. Don't have this problem with Gourmet Market!,"Sorry the app keeps stopping on you while Gourmet Market doesn't. Stability crashes like that are with the iOS team — if it still happens on the latest version, a device model note in-app helps us catch it.",13973084752
Dakota,Android,"th,us",1,2026-04-09,bug,very low quality and performance app. everything else on my phone works perfectly fine but this app. don't download it!,Sorry the app feels low quality and slow when everything else on your phone is fine. Performance on Android is a real complaint we're tracking — thanks for saying it plainly.,111f417a-ef53-4d66-9e6c-3a6bcef7e8b3
Nice Paul,iOS,th,2,2026-03-27,checkout,"After paying for the order, the goods still appear in the cart and the app shows ‘processing payment’ even after payment has gone through. I’ve brought this to the attention of their customer service maybe a dozen times but it never gets fixed. Extremely disappointing.",We're sorry — a cart that still shows paid items and stays on 'processing payment' after you've paid (and after many CS reports) is unacceptable. Escalated to the payments/app team with your review attached.,13891312626
Farang working in Thailand,iOS,th,1,2026-03-20,checkout,"Living in Bangkok and everyone told me to shop at Villa for western groceries. I thought, ok cool. Let’s try ordering delivery. Download the app. Doesn’t load. Open close open close. Finally opens. Select the location closest to me. Fill my cart. Asks to verify phone number. Put ","We're truly sorry for that first try: app wouldn't load, phone verify stalled, wrong-location errors, then the cart emptied when you changed store. Those are known bugs — your review is with the app team. In-app chat can help if you want to retry a first order.",13866633341
John Foderaro,Android,"th,us",3,2026-03-18,bug,otp working again. I still would like fingerprint authorization rather than pin authorization,Glad OTP is working again. Noted on fingerprint instead of PIN — we've passed the biometric-login request to the Android team.,794d2d7b-669f-4491-af96-0d3dad3fcf1f
Stephan Menzel,Android,"th,us",1,2026-03-17,bug,"Firstly, the app forced me to update to the latest version, only to show a message ""this application is incompatible with developer mode..."". My phone is my property and I decide whether or not I need the developer mode. Villa app uninstalled!","Sorry we forced an update only to block you for Developer Mode. Your phone, your settings — that restriction is ours to remove. Sent to the Android team; sorry you had to uninstall.",35bbd617-b496-4a5d-b735-c3f14e5c434c
Kittipoj T.,Android,"th,us",1,2026-03-15,stock,"can't select the brach that want order and when select the brach that the app force, the item is out of stock. So the villa supermarket can't get the order","Sorry you couldn't pick the branch you wanted, then the forced branch showed everything out of stock so the order couldn't go through. Forced store + false OOS is a known bug — with the app/inventory team.",66c7a00f-b83f-47c8-aea3-bedd4135bef6
Adrian Lines,Android,"th,us",1,2026-03-15,bug,"Being told that I can't have Developer Mode activated, what has this got to do with Villa Market? Uninstalled",Developer Mode has nothing to do with buying groceries — blocking the app for it was the wrong call. We've sent this to Android; sorry you uninstalled over it.,aa429c98-8c1d-4520-89b0-158f7fa4eaa6
greendaisy1,iOS,th,1,2026-03-11,bug,"It keeps saying that my password is incorrect, so I clicked on Forget Password and entered my phone number and Continue. But nothing showed up, except when I clicked Continue three times, it said that I have exceeded the attempt limit. Useless and non-functional app. There is no ","Sorry — wrong password loop, then Forget Password did nothing until you hit the attempt limit, plus no usable LINE/phone support. Password-reset and support gaps are both on us. Email ewallet@villamarket.com with your phone number if you need the account unlocked manually.",13836518270
Henry Cordy,Android,"th,us",1,2026-02-13,stock,"You can't order from a store that is further away from you. If you select a store that has the items in stock, then it forces you to pick a different store at checkout, and you lose the items you wanted if they are out of stock. They also have order via Line option. But this does","You've described the bug exactly: can't keep a farther store that has stock, checkout forces nearest, cart items vanish when that store is OOS. That's with the app team — including the weak LINE-order fallback you mentioned.",1dbabfc5-6735-4261-9d83-f4a66b5c1784
Christina Jigström,Android,se,2,2026-02-11,bug,går inte öppna,"Förlåt att appen inte går att öppna. Vi har skickat vidare start/krasch-problemet till Android-teamet. Om du kan, skriv telefonmodell i appen så blir det lättare att återskapa.",bd22555a-c38c-40d9-a93b-6faf5327b437
Илья Автокожа,Android,ru,2,2026-01-21,bug,"no open ,don't work! only white scrine!!!! Huawei mate x6","Sorry the app won't open — white screen only on your Huawei Mate X6. We've logged this Huawei launch bug for Android. If a later update still shows white, tell us in-app so we can confirm the fix.",10bcf8eb-1c0e-4bb5-a9f2-acd5d9ecc144
AzmieLife,Android,th,1,2026-01-17,bug,ติดต่อเจ้าหน้าที่ไม่ได้ ลงทะเบียนไม่ได้ สรุป ถอนการติดตั้ง,ขออภัยที่ติดต่อเจ้าหน้าที่ไม่ได้และลงทะเบียนไม่ได้จนต้องถอนการติดตั้ง เราได้รับเรื่องแล้ว ส่งต่อให้ทีมแอป/บัญชีผู้ใช้ — หากต้องการให้ช่วยผูกเบอร์เดิม รบกวนอีเมล ewallet@villamarket.com ค่ะ,3ec02c1c-9680-4966-b98e-22518193fc31
